Price,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Date,,,,,
2026-02-13,8065.0,8119.0,7886.5,7900.0,967939
2026-02-16,8010.5,8084.5,7968.5,8078.5,589984
2026-02-17,8035.0,8051.5,7925.0,7981.0,266572
2026-02-18,8009.5,8043.5,7945.0,8024.0,223326
2026-02-19,7897.0,8140.0,7884.0,8036.0,424777
2026-02-20,7936.5,7978.0,7885.5,7894.5,264059
2026-02-23,8038.5,8057.5,7937.5,7990.0,247249
2026-02-24,7929.0,8059.5,7902.0,7990.0,430812
2026-02-25,8008.0,8082.0,7772.0,7930.0,618719
2026-02-26,8190.0,8225.0,8024.5,8040.0,427401
2026-02-27,8010.5,8230.0,7987.0,8220.0,774354
2026-03-02,7826.0,7996.5,7715.5,7800.0,494148
2026-03-04,7626.5,7705.0,7571.5,7700.0,593728
2026-03-05,7755.0,7801.5,7615.0,7705.0,568151
2026-03-06,7620.5,7735.0,7603.0,7733.0,366235
2026-03-09,7266.0,7517.0,7237.0,7517.0,554984
2026-03-10,7536.5,7566.5,7338.5,7380.0,494730
2026-03-11,7253.5,7574.0,7227.0,7574.0,621563
2026-03-12,6975.5,7227.5,6961.0,7175.0,1259945
2026-03-13,6741.0,6942.5,6670.0,6865.0,819230
